lpad;rmo;hh_sno;sex;sex2;sex3;edu;edu1;edu2;edu3;edu4;edu5;edu6;edu7;edu8;edu9;edu10;edu12;edu15;edu18;occ;occ2;occ3;occ4;occ5;hh_f;hh_f2;hh_a;hh_a2;c01m;c01f;c01h;c02m;c02f;c02h;c03m;c03f;c03h;c04;c05;c06;c07;c08;c09;c10;c11;c12;c13;c14;c15;c16;c17;c18;sf;mf;lf;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28h;c28f;c29h;c29f;c30h;c30f;c31h;c31f;c32h;c32f;c33h;c33f;c34h;c34f;c35h;c35f;c36h;c36f;c37h;c37f;c38h;c38f;c39;c40;c41a;c41b;c42a;c42b;c43a;c43b;c44a;c44b;c45a;c45b;c45c;c46a;c46b;c47a;c47b;c48;c49;t101;t102;t103;t104;t105;t112;t113;t114;t121;t122;t123;t124;t125;t127;t128;t129;t130;t131;t132;t134;t135;t157;t158;t159;t160;t161;t167;t169;t175;t176;t177;t179;t182;t185;t106;t107;t108;t109;t110;t111;t115;t116;t117;t118;t119;t120;t126;t133;t136;t137;t138;t139;t140;t141;t142;t143;t144;t145;t146;t147;t148;t149;t150;t151;t152;t153;t154;t155;t156;t162;t163;t164;t165;t166;t168;t170;t171;t172;t173;t174;t178;t180;t181;t183;t184;t186;t187;t188;t189;t190;t191;t192;t193;t194;t195;t196;t197;t198;t199;t200;t201;t202;t203;p501a;p501b;p502a;p502b;p503a;p503b;p504a;p504b;p505a;p505b;p506a;p506b;p507a;p507b;p508a;p508b;p510a;p510b;p511a;p511b;p512a;p512b;p521a;p521b;p522a;p522b;p523a;p523b;p524a;p524b;p538a;p538b;p539a;p539b;p546a;p546b;p548a;p548b;p549a;p549b;p550a;p550b;p551a;p551b;p572a;p572b;pnl509;pnn509;pnl513;pnn513;pnl514;pnn514;pnl515;pnn515;pnl516;pnn516;pnl517;pnn517;pnl518;pnn518;pnl519;pnn519;pnl520;pnn520;pnl525;pnn525;pnl526;pnn526;pnl527;pnn527;pnl528;pnn528;pnl529;pnn529;pnl530;pnn530;pnl531;pnn531;pnl532;pnn532;pnl533;pnn533;pnl534;pnn534;pnl535;pnn535;pnl536;pnn536;pnl537;pnn537;pnl540;pnn540;pnl541;pnn541;pnl542;pnn542;pnl543;pnn543;pnl544;pnn544;pnl545;pnn545;pnl547;pnn547;pnl552;pnn552;pnl553;pnn553;pnl554;pnn554;pnl555;pnn555;pnl556;pnn556;pnl557;pnn557;pnl559;pnn559;pnl560;pnn560;pnl561;pnn561;pnl562;pnn562;pnl563;pnn563;pnl564;pnn564;pnl565;pnn565;pnl566;pnn566;pnl567;pnn567;pnl568;pnn568;pnl569;pnn569;pnl570;pnn570;pnl571;pnn571;pnl573;pnn573;pnl574;pnn574;pnl575;pnn575;pnl577;pnn577;pnl579;pnn579;pnl580;pnn580;pnl581;pnn581;pnl582;pnn582;pnl584;pnn584;pnl585;pnn585
20.46.49.142.259;1;1296;1159;137;0;563;26;82;77;66;109;34;64;79;53;105;19;15;4;1139;17;50;51;39;11;1285;853;443;2864;2899;1;166;192;0;1710;1670;0;3305.18;159;211.4;3357.58;105.96;15.19;90.12;50.3;261.57;1119.43;1853.38;10.6;1.2;111.4;3096.01;726;392;56;142.9;0;4.4;1.5;0;0;0;0;0;7378;3100;377;388;36;0;10;0;11;0;1022;40;121;9;939;189;43;0;859;62;12;11;2;27;34;0;1;9;39;0;3268;2;111;19;0;22;0;0;0;33;110;424.8;433.02;159.57;0.31;29.75;1;0.11;0.09;12.13;20.73;11.29;16.41;6.62;0.28;4.7;18.83;11.99;13.15;28.63;1.01;2.32;0.24;0.11;50.71;142.85;18.51;0;0.02;165.32;8.9;0.3;7.05;0.04;6.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73.65;223.91;39063;18.55;2696;72.6;8802;128.56;20820;8.95;1655;25.78;5470;8.66;923;2.62;470;0.62;120;0.27;22;12.62;2063;1.58;297;31.05;3590;7.91;2637;13.01;2008;1.68;0;11.33;5900;81.38;0;16.89;2624;2.01;156;4.36;1439;862.14;374121;2.7;529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.49.142.370;1;741;676;65;0;269;41;45;43;48;71;35;25;68;37;36;17;5;1;658;2;24;35;22;4;737;277;464;1639;1569;0;2;6;0;837;841;0;1423.56;66.5;62.21;1419.27;57.56;3.56;39.62;32.2;132.94;527.84;692.69;5.4;2.8;57.6;1286.33;548;150;12;95.6;0;0;0.6;0;0;0;0;0;4369;800;220;281;12;0;16;0;12;0;705;0;110;0;586;61;47;0;316;0;4;0;1;36;19;0;4;7;1274;2;1912;0;421;1;0;36;1;0;0;19;65;164.05;105.66;44.82;0;1.27;0.4;0;0.11;5.52;8.06;3.85;6.22;0.16;0.04;4.65;5.98;1.38;3.99;5.39;1.8;4.57;0;1;4.26;84.11;8.55;0;0;90.91;5.62;0;5.1;0;11.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.67;107.21;18299;1.7;146;23.11;2884;112.14;21550;1.6;858;8.62;1011;1.2;115;1.1;73;0;1;0;0;2.55;421;0;0;0.82;39;3.6;456;2.25;613;8.51;0;2.62;269;68.5;0;0.3;40;0;0;2.56;2017;353.55;182232;2.4;1437;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.49.308.260;3;2759;2491;268;0;874;49;170;137;136;498;98;74;272;123;229;69;19;11;1111;44;218;334;1052;7;2752;873;1886;6212;6196;21;31;17;0;916;853;0;3224.95;242.2;209.56;3192.31;216.08;33.61;115.31;115.8;480.8;867.45;1771.66;7;3.7;61.7;2711.51;1037;299;41;151.4;0;1;0.1;0;0;0;0;0.26;8794;4060;1827;1188;860;0;22;26;100;0;1954;70;60;0;1401;168;55;0;436;22;6;0;9;36;25;26;3;49;0;3;0;0;1;5;1;36;2;0;0;10;13;222.95;318.72;148.39;1.16;15.57;0.04;1.32;0.96;8.43;31.25;5.64;24.23;6.59;0.97;14.96;19.88;6.49;11.77;14.77;2.11;2.44;1.16;0.92;22.61;68.14;20.14;0;0.3;115.82;10.98;0;6.02;0.3;1.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.87;521.67;72510;11.6;1837;42.07;6162;91.34;11454;9.63;2093;11.72;3609;5.36;948;2.83;553;0.39;113;0.14;281;2.58;593;0.62;120;5.93;902;6.12;1730;5.36;1050;1.1;0;7.57;5012;94.99;7823;7.86;1007;0.27;77;2.43;838;659.64;180242;6.39;1237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.49.441.075;1;1404;1304;100;0;414;67;91;110;95;148;36;27;141;97;126;28;17;7;816;10;178;72;328;12;1392;511;893;3055;2996;17;22;19;0;1367;1164;14;2073.01;248.5;237.96;2062.47;94.64;7.21;99.87;150.9;352.62;724.42;958.63;3.7;0.2;22.9;1709.85;941;226;11;435.8;0;2;0.2;0;0;0;0;0;7703;7887;312;469;218;0;0;0;30;0;1623;37;86;22;1116;72;65;22;137;0;4;0;4;22;35;5;3;117;2604;11;2648;5;102;17;0;151;0;0;0;0;2;103.88;341.58;300.02;0.2;26.81;1;0.05;0.15;12.18;39.38;7.64;16.73;3.39;1.09;5.16;13.17;5.3;12.2;12.65;0.72;0.69;1.26;0.25;11.9;47.35;29.9;0;1.16;45.09;4.45;0.22;4.87;0.73;8.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.19;274.83;31132;4.28;660;30.06;5608;59.45;9024;3.74;3934;8.87;2696;2.04;1440;32.09;973;1.18;137;0.04;8;2.57;344;1.46;52;1.97;894;4.15;1083;3.4;420;2.3;0;6.95;1588;164.82;0;1.99;247;2.22;656;0.9;165;366.63;142709;3.45;2147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.49.441.148;1;556;520;36;0;129;30;60;43;46;70;24;33;45;47;19;9;1;0;378;6;18;25;129;12;544;125;431;1297;1242;0;9;8;0;485;436;0;1164.92;118.1;113.86;1160.68;30.59;8.6;10.01;6.5;55.7;500.53;557.95;1;1;44.5;1104.98;397;138;12;192;0;0;0;0;0;0;0;0;3128;0;153;25;111;0;1;0;11;0;827;30;9;0;552;13;3;0;143;0;0;0;2;14;39;2;6;1;1100;2;1132;0;320;6;0;18;0;0;0;0;0;237.87;101.33;108.7;1.9;8.47;0.01;0.1;0.64;10.83;23.26;2.46;14;1.9;3.69;4.4;4.07;4.39;3.25;4.14;0.25;1.7;0.09;0.12;2.89;50.64;19.43;0;0.4;32.79;1.82;1.06;4.1;0.09;0.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.94;108;11288;5.4;623;14.77;1758;21.19;2352;4.82;445;9.83;1347;0.99;131;1.2;157;0.13;11;0.15;20;4.66;508;0.36;40;0.98;82;2.52;135;5.83;547;0.22;0;4.5;2341;28.6;0;1.74;206;0.13;22;3.38;475;336.88;140308;0.14;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.49.441.333;1;690;630;60;0;198;10;55;27;33;101;29;27;61;57;56;27;7;2;525;10;36;30;89;44;646;165;525;1459;1503;0;46;27;0;650;604;0;1345.45;98.4;141.79;1388.84;49.19;1.76;6.66;2.8;60.41;462.3;827.83;9;0.2;29.1;1328.43;444;145;17;374;0;6.3;0.8;1.9;0;0;0;0.5;5182;1480;274;171;30;0;0;50;11;0;764;0;43;9;580;0;6;0;136;0;4;9;0;24;32;1;4;12;1070;0;1305;0;22;12;0;0;1;0;0;0;17;8.14;427.14;336.15;0;12.22;1.01;0;0.14;7.53;9.97;4.97;4.47;3.92;0.29;3.91;2.3;5.82;3.68;4.43;1.04;0.43;0.03;0.01;1.55;11.11;14.83;0;0.21;15.64;1.6;0.02;2.42;0;14.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.81;176.96;20952;2.23;286;14.45;1846;32.03;4465;1.86;241;7.78;1241;0.59;93;2.86;379;0.13;16;1.03;4;4.58;819;0;3;3;381;1.8;294;12.4;945;0.12;0;5.46;2488;84.35;0;0.06;6;0.01;1;4.6;2307;454;172913;3.04;610;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.49.441.407;1;871;755;116;0;176;86;82;33;45;77;32;18;83;51;117;41;19;11;566;25;89;54;137;10;861;403;468;1809;1872;23;6;3;0;635;564;23;587.56;79.7;75.05;582.91;50.51;4.02;5.71;9.1;69.34;306.42;193.55;4.9;0.1;8.6;513.57;691;27;0;216.7;0;9.6;0;0;0;0;0;0;2253;130;134;97;27;0;0;0;6;0;859;20;23;0;613;0;2;0;71;0;2;0;0;15;9;3;3;171;1603;24;1316;1;4;3;1;30;1;0;0;2;0;0.42;226.59;165.6;0.01;5.73;0.1;0.22;0.08;8.32;13.71;2.03;9;1.29;0.25;3.97;5.49;2.52;6.9;6.21;0.17;0.31;1;0.02;2.98;7.56;5.33;0;0;11.16;7.06;0.02;4.23;0.05;5.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.15;94.16;10696;1.83;257;14.23;1764;16.56;1788;2.78;740;14.11;2069;0.84;153;1.44;299;0.2;141;0.02;3;2.18;161;0.33;47;2.16;176;2.48;581;1.78;408;0.24;0;8.04;3988;23.57;0;0.33;38;0.04;12;0.78;188;28.55;21134;0.41;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.49.450.149;1;161;118;43;0;19;1;7;14;10;22;10;12;25;27;11;2;1;0;108;0;28;2;23;0;161;53;108;381;369;0;0;1;0;155;140;0;253.22;66.1;29.23;216.35;7.46;1.27;13.53;0.5;22.76;82.95;107.74;2.7;0;0.2;193.59;124;22;0;12.8;0;1.7;0;0;0;0;0;0;1373;400;119;70;99;0;0;0;10;0;217;15;0;0;160;44;23;0;33;0;0;0;0;5;6;1;0;0;0;0;227;0;2;1;0;0;0;0;0;0;0;5.91;64.19;12.04;0;3.14;0;0.63;0;1.71;1.32;0.64;0.58;1.02;0;4.11;0;1.2;0.15;0.75;0.1;0;0;0;0.33;0.1;1.17;0;0;9.91;0;0;0;0;3.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.78;4821;0.52;39;6.2;1086;5.59;1042;0.82;247;2.22;418;0.26;46;0.28;48;0.03;8;0.04;7;0.33;52;0.24;29;0.6;50;0.67;325;0.83;149;0.15;0;1.18;409;5.78;0;0.9;103;0;0;2.91;785;49.92;13048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.49.450.258;1;688;623;65;0;142;52;71;39;39;75;22;35;45;61;77;27;3;0;378;5;48;58;199;1;687;268;420;1500;1491;0;29;16;0;608;597;0;1042.82;268;124.74;899.56;66.73;7.67;12.48;1.7;88.58;432.19;370.49;5.7;0.1;2.5;810.98;505;94;4;357.7;0;3;0.6;0.7;0.1;0;0;0.03;2345;1350;178;670;61;0;2;0;3;493;1067;0;97;0;428;12;0;0;69;0;0;0;3;62;89;3;8;294;10;0;1018;0;44;28;0;5;2;0;0;0;3;69.17;365.83;229.93;0;7.3;0;0;0.2;21.7;38.01;5.31;10.55;5.63;0.14;9.57;9.89;7.26;2.38;3.75;2.15;1.69;0;0;0.43;1.64;19.34;0;0.73;1.56;0.12;1.9;0.48;0;17.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.32;107.34;20463;1.13;212;22.8;3120;29.67;5170;1.39;309;7.34;1844;3.25;1196;1.75;355;0.16;25;0.1;16;1.2;237;0.29;135;0.39;57;3.66;1059;2.11;480;1.45;0;3.6;1421;63.09;0;0.56;121;0;0;1.23;379;93.99;49565;0.2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.46.49.450.516;1;1355;1259;96;0;368;55;130;119;88;141;58;65;94;102;106;27;2;0;1032;5;89;75;154;5;1350;478;877;3272;3153;21;52;24;0;1029;894;21;2848.48;158.4;321.63;3011.71;116.94;18.23;140.23;15.8;291.2;1362.61;1307.1;2.6;6.1;42.1;2720.51;788;324;40;551.8;0;8.4;0.1;0;0;0;0;0.26;8487;3113;358;295;200;0;0;0;0;36;1754;102;20;0;1162;51;29;42;608;61;2;0;0;60;36;8;2;126;3;0;2282;24;38;30;5;0;1;0;0;0;39;270.44;868.49;426;0;31.19;2.98;9.95;0;40.45;63.64;26.25;20.72;29.16;0.01;63.19;10.47;7.31;8.33;13.09;8;7.81;0;1.4;24.91;128.76;31.94;0;0;252.47;4.46;0;12.89;1;30.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.85;413.53;73444;4.36;738;58.49;6516;131.51;19417;2.15;890;27.18;4945;2.01;364;9.48;1183;0.34;51;0.2;18;4.27;660;0.56;153;2.9;388;6.87;1443;7.89;1052;7.15;5;20.47;5031;138.48;140;10.72;2522;0;0;4.48;1649;431.37;204121;0.27;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
