geocode;rmo;hh_sno;sex;sex2;sex3;edu;edu1;edu2;edu3;edu4;edu5;edu6;edu7;edu8;edu9;edu10;edu12;edu15;edu18;occ;occ2;occ3;occ4;occ5;hh_f;hh_f2;hh_a;hh_a2;c01m;c01f;c01h;c02m;c02f;c02h;c03m;c03f;c03h;c04;c05;c06;c07;c08;c09;c10;c11;c12;c13;c14;c15;c16;c17;c18;sf;mf;lf;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28h;c28f;c29h;c29f;c30h;c30f;c31h;c31f;c32h;c32f;c33h;c33f;c34h;c34f;c35h;c35f;c36h;c36f;c37h;c37f;c38h;c38f;c39;c40;c41a;c41b;c42a;c42b;c43a;c43b;c44a;c44b;c45a;c45b;c45c;c46a;c46b;c47a;c47b;c48;c49;t101;t102;t103;t104;t105;t112;t113;t114;t121;t122;t123;t124;t125;t127;t128;t129;t130;t131;t132;t134;t135;t157;t158;t159;t160;t161;t167;t169;t175;t176;t177;t179;t182;t185;t106;t107;t108;t109;t110;t111;t115;t116;t117;t118;t119;t120;t126;t133;t136;t137;t138;t139;t140;t141;t142;t143;t144;t145;t146;t147;t148;t149;t150;t151;t152;t153;t154;t155;t156;t162;t163;t164;t165;t166;t168;t170;t171;t172;t173;t174;t178;t180;t181;t183;t184;t186;t187;t188;t189;t190;t191;t192;t193;t194;t195;t196;t197;t198;t199;t200;t201;t202;t203;p501a;p501b;p502a;p502b;p503a;p503b;p504a;p504b;p505a;p505b;p506a;p506b;p507a;p507b;p508a;p508b;p510a;p510b;p511a;p511b;p512a;p512b;p521a;p521b;p522a;p522b;p523a;p523b;p524a;p524b;p538a;p538b;p539a;p539b;p546a;p546b;p548a;p548b;p549a;p549b;p550a;p550b;p551a;p551b;p572a;p572b;p509a;p509b;p513a;p513b;p514a;p514b;p515a;p515b;p516a;p516b;p517a;p517b;p518a;p518b;p519a;p519b;p520a;p520b;p525a;p525b;p526a;p526b;p527a;p527b;p528a;p528b;p529a;p529b;p530a;p530b;p531a;p531b;p532a;p532b;p533a;p533b;p534a;p534b;p535a;p535b;p536a;p536b;p537a;p537b;p540a;p540b;p541a;p541b;p542a;p542b;p543a;p543b;p544a;p544b;p545a;p545b;p547a;p547b;p552a;p552b;p553a;p553b;p554a;p554b;p555a;p555b;p556a;p556b;p557a;p557b;p559a;p559b;p560a;p560b;p561a;p561b;p562a;p562b;p563a;p563b;p564a;p564b;p565a;p565b;p566a;p566b;p567a;p567b;p568a;p568b;p569a;p569b;p570a;p570b;p571a;p571b;p573a;p573b;p574a;p574b;p575a;p575b;p577a;p577b;p579a;p579b;p580a;p580b;p581a;p581b;p582a;p582b;p584a;p584b;p585a;p585b;c04gtrhh;c05gtrhh;c06gtrhh;c07gtrhh;c08gtrhh;c11gtrhh;c12gtrhh;c13gtrhh;c14gtrhh;c17gtrhh;c18gtrhh;c19gtrhh;c20gtrhh;c02mfarm;c02ffarm;c02hfarm;c03mfarm;c03ffarm;c03hfarm;c07farm;c08farm;c19farm;c04smlf;c05smlf;c06smlf;c07smlf;c08smlf;c09smlf;c10smlf;c11smlf;c12smlf;c13smlf;c14smlf;c15smlf;c16smlf;c17smlf;c18smlf;c19smlf;c20smlf;c21smlf;c22smlf;c23smlf;c24smlf;c25smlf;c26smlf;c27smlf
45.72.04.742.616;1;108;107;1;0;69;0;1;0;9;13;0;0;4;1;8;0;2;1;37;8;5;27;31;1;107;33;75;273;240;0;1;0;0;8;3;0;92.33;0.4;27.2;119.13;16.34;0;4.49;0.1;20.93;92.3;0;5.9;0;0;98.2;71;5;0;72.45;0;5.9;0;0;0;0;0;0;659;0;262;0;34;0;0;0;0;0;130;0;0;0;61;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;55;0;101.42;95.45;0;0;0;0;0;0.2;0.3;0.4;0;0.4;0;0.3;0;0;0.1;0;0;0;0.1;0.1;0;0;0.4;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.59;0;421;0;69;0;384;0;41;0;66;0;157;0;12;0;14;0;1;0;1;0;11;0;4;0;0;0;59;0;15;0;0;0;896;0;0;0;0;0;120;0;338;0;6;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;108;1;43;108;108;1;108;76;0;0;76;73;0;0;0;0;1;1;0;115.46;13.29;72.45;88.66;0.4;27.2;115.46;13.29;0;3.97;0;17.26;92.3;0;5.9;0;0;98.2;72.45;0;5.9;0;0;0;0;0;0
45.72.04.742.619;1;219;198;21;0;121;3;4;0;0;52;0;0;15;1;14;6;2;1;75;26;12;19;87;6;213;70;149;469;479;0;4;1;0;147;160;0;113.74;22.31;45.66;137.09;24.85;0.01;1.48;0;26.34;101.69;2.15;6.03;0.08;0.8;110.75;115;2;0;63.76;0;6.03;0;0;0.02;0;0;0;443;520;384;0;29;0;11;0;3;0;125;0;0;0;17;0;0;0;0;0;0;0;3;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;3;14;0;69.64;97.76;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4;0;418;0;27;0.05;289;0;10;0;110;0;80;0;65;0;6;0;1;0;5;0;6;0;30;0;2;1;510;0;29;0;0;0.05;856;0;0;0;14;0;992;0;205;0;15;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.24;0;0;0;0;0;0;0;0;0;0;0;0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;24;73;211;206;0;206;114;5;2;123;107;0;0;0;0;1;2;0;126.83;15.44;63.76;97.98;16.81;45.66;126.83;15.44;0.01;1.23;0;16.68;101.69;2.15;5.43;0.08;0.8;110.15;63.76;0;5.43;0;0;0.02;0;0;0
45.72.04.742.689;1;352;320;32;0;147;0;26;12;4;74;1;3;29;12;18;16;9;1;246;26;11;45;24;27;325;166;186;935;943;0;37;0;0;222;69;0;326.55;6.97;7.75;327.33;38.89;0.36;4.34;2.54;46.13;269.34;0.46;11.1;0;0.3;281.2;147;26;3;205.15;0;11.1;0;0;0;0;0;0;1860;0;1100;200;326;0;0;0;24;0;319;0;0;0;116;0;0;0;1;0;0;0;0;2;1;0;1;21;0;0;0;0;0;0;0;1;0;0;0;10;57;0;187.37;258.58;0.4;0;0;0;0;1.1;0;0.2;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0.3;0;0;0.05;0;0;0;2.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.02;0;2012;0;151;0;1726;0;43;0;304;0;400;0;192;0;26;0;43;0;39;0;100;0;91;0;6;0;423;0;1863;0;0;0;3356;0;0;0;44;0;1091;0;588;0;2;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;345;15;15;345;345;14;345;179;4;1;183;168;0;1;0;0;13;2;0;311.86;24.72;205.15;310.88;6.77;7.75;311.86;24.72;0.36;3.57;2.24;30.89;269.3;0.46;10.91;0;0.3;280.97;205.15;0;10.91;0;0;0;0;0;0
45.72.04.742.731;1;143;128;15;0;58;3;0;1;8;34;1;1;14;6;11;0;6;0;31;1;11;46;54;1;142;18;125;329;360;1;0;0;0;15;2;0;46.29;7.55;17.12;55.86;13.29;0.04;0;0;13.33;40.93;0;1.6;0;0;42.53;36;1;0;2.85;0;1.6;0;0;0;0;0;0;251;160;215;0;26;0;0;0;0;0;86;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;3.7;35.35;14.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;284;0;29;0;201;0;16;0;60;0;55;0;28;0;4;0;8;0;8;0;13;0;6;0;2;0;50;0;14;0;0;0;559;0;0;0;6;0;46;0;139;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;10;25;131;131;0;131;36;0;0;40;3;0;0;0;0;1;0;0;47.19;4.92;2.85;33.27;3.2;17.12;47.19;4.92;0.04;0;0;4.96;40.93;0;1.3;0;0;42.23;2.85;0;1.3;0;0;0;0;0;0
45.72.04.742.737;1;200;188;12;0;3;156;4;4;0;14;0;2;6;3;8;0;0;0;177;3;1;18;1;7;193;78;122;444;403;0;7;4;0;276;276;0;150.96;23.21;18.85;146.6;26.02;0.36;2.43;0.2;29.01;109.69;0.6;7.3;0;0;117.59;128;3;0;76.78;0.4;7.3;0;0;0;0;0;0;416;0;555;210;14;0;0;0;0;0;276;0;3;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;21.72;98.18;0;0;0;0;0;0.1;0;0;0;0;0;0.2;0.1;0;0;0;0;0;0;0;0;0.03;0;0;0;0;0.1;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.99;0;501;0;50;0;342;0;7;0;57;0;106;0;22;0;5;0;15;0;6;0;4;0;1;0;0;0;73;0;14;0;0;0;568;0;0;0;7;0;138;0;69;0;9;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;185;45;35;185;185;2;185;128;5;0;132;121;1;0;0;0;4;7;0;138.74;19.07;76.78;140.25;20.26;18.75;138.74;19.07;0.25;2.13;0.2;21.65;109.69;0.6;6.8;0;0;117.09;76.78;0.4;6.8;0;0;0;0;0;0
45.72.04.742.741;1;434;410;24;0;235;3;38;16;11;48;1;5;33;26;12;2;4;0;384;13;10;6;21;8;426;191;243;1042;1012;0;85;74;0;653;682;0;428.29;95.75;44.03;376.57;75.48;1.33;3.45;2.5;82.76;266.64;1.28;25;0.05;0.84;293.81;247;12;0;195.88;0.01;25;0;0;0;0;0;0;1301;0;1000;330;165;0;5;0;9;0;632;0;0;0;188;0;4;0;0;0;0;0;2;6;21;2;2;23;0;0;0;0;0;10;0;0;0;0;0;3;58;0;61.83;226.88;0;0;0;0;0;1.15;0.4;0.5;0;0.2;0;0.3;0.05;0;0;0;0;0;0.1;0;0;0.05;4.05;1.2;0;0;0;0;0;2.45;0.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.74;0;1335;0;246;0;1105;0;57;0;317;0;446;0;92;0;48;0;27;0;19;0;81;0;39;0;9;0.02;513;0;159;0;0;0;3688;0.51;0;0;63;0;794;0.15;321;0;2;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;410;96;80;413;410;28;412;260;20;10;269;246;1;1;1;0;18;19;0;357.66;57.23;195.86;384.03;70.05;43.68;357.66;57.23;1.33;3.4;2.5;64.46;266.57;1.24;24.5;0.05;0.84;293.2;195.86;0.01;24.5;0;0;0;0;0;0
45.72.04.742.744;1;546;526;20;0;214;43;62;27;43;46;8;9;27;14;34;4;8;7;422;39;9;34;42;36;510;152;394;1341;1259;2;87;37;0;726;405;1;509.56;76.28;92.83;526.11;81.07;0.12;1.86;0.13;83.18;415.42;0.95;26.26;0;0.3;442.93;332;24;2;295.74;0.51;27.26;1.12;0;0;0;0;0;1499;950;1140;700;90;0;0;0;20;0;628;0;0;0;130;61;4;0;0;0;0;0;3;2;2;3;0;4;0;0;0;0;0;1;0;0;0;0;0;0;53;3.1;282.72;402.15;0;0;0;0;0;1.87;0.89;0.1;0;0.62;0;0.28;0.35;0;0.1;0;0.1;0;0;0;0;0.18;1.46;0;0;0;0;0;0;5.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.35;0;2176;0;227;0;1640;0;75;0;263;0;594;0;147;0;15;0;19;0;49;0;49;0;14;0;17;0;415;0;147;0;0;0;2451;0.52;0;0;98;0;1505;0;892;0;22;0;16;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0.48;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;529;62;142;531;524;4;524;359;23;3;362;327;2;1;3;0;39;22;0;506.48;61.83;295.74;454.7;39.85;91.63;506.48;61.83;0.1;1.74;0.12;63.79;415.41;0.92;26.06;0;0.3;442.69;295.74;0.51;27.06;1.12;0;0;0;0;0
45.72.04.742.779;1;157;151;6;0;40;0;12;4;5;50;1;4;12;10;10;5;4;0;87;2;7;56;5;0;157;3;154;397;432;1;3;1;0;79;1;0;98.56;7.66;18.2;109.1;23.4;3.32;0.38;1.43;28.53;73.59;0.5;4.38;1.8;0.3;80.57;61;4;0;28.63;0;4.38;0;0;0;0;0;0;402;500;205;100;104;0;9;0;0;0;96;0;0;0;42;0;21;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;61.71;49.43;1.2;0;0;0;0;0.06;0.13;0.1;0;0.15;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.77;0.09;437;0;66;0.01;314;0;44;0;155;0;153;0;33;0;32;0;7;0;8;0;10;0;16;0;6;0.2;155;0;49;0;0;0.2;996;0;0;0;32;0;259;0;317;0;19;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;10;28;157;157;4;157;68;1;2;76;25;0;0;0;0;4;0;0;98.32;14.48;28.63;84.32;4.2;18.2;98.32;14.48;3.17;0.24;0.22;18.11;73.52;0.5;4.09;1.8;0.3;80.21;28.63;0;4.09;0;0;0;0;0;0
45.72.09.109.036;1;375;351;24;0;138;6;27;7;10;103;8;2;14;18;24;14;2;2;174;3;26;95;77;9;366;72;303;844;854;1;19;18;0;467;543;1;376.88;55.23;29.5;351.15;50.06;1.07;5.35;4.05;60.53;257.91;4.86;8.1;0.2;19.55;290.62;175;23;1;195.44;0;8.15;0.1;0;0;0;0;0;1255;870;576;100;18;0;0;0;20;0;331;0;0;0;22;0;4;0;0;0;0;0;2;5;2;5;2;37;0;1;0;0;0;0;0;0;0;0;0;0;45;0.8;239.19;271.44;1.46;0.05;0.02;0.05;0;0.84;1.67;0.21;0.4;0.08;0.11;0.62;0.01;0;0.17;0.06;0.72;0.49;0.1;0.02;0.02;0.05;1.14;0;0;0.05;0.01;0;0;2.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.28;0.49;0.01;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.11;0.01;1441;0;268;0.01;881;0;156;0;395;0.01;425;0;107;0;70;0;33;0;16;0;19;0;84;0;22;0;505;0;127;0;0;0;2195;1.76;0;0;17;0.01;762;0.01;517;0;55;0;71;0;2;0;1;0;2;0;0;0;1;0;0;0;8;0;1;0;2;0;4;0;0;0;1;0;10;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0.48;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;69;0;19;0;22;0;0;0;3;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;1;0;0;0;0;0;2;0;36;0;6;0;6;0;0;373;47;47;373;373;45;373;202;54;62;217;188;0;0;2;0;42;36;0;334.15;35.45;195.44;354.35;49.7;29.5;334.15;35.45;0.86;4.13;3.29;43.73;257.89;4.7;8.08;0.2;19.55;290.42;195.44;0;8.13;0.1;0;0;0;0;0
45.72.09.109.071;1;161;146;15;0;19;19;33;47;15;13;3;3;1;3;3;1;1;0;149;4;2;5;1;4;157;79;82;411;382;0;39;35;0;228;207;0;164.85;24.5;55.35;195.7;16.69;0;8.61;0;25.3;163.69;3.18;3.13;0.4;0;170.4;102;11;1;125.55;0;3.83;0;0;0;0;0;0;289;0;359;1800;58;0;0;0;0;0;175;0;0;0;26;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;19;0;160.29;168.8;1.1;0.15;0.2;0;0;0.67;0;0.32;0.18;0.61;0;0.16;0.29;0;0.91;0.51;0;0.1;0;0;0.02;0.03;0.7;0.5;0;0;0;0;0;3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.17;0.16;0.07;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.61;0;489;0;99;0;353;0;6;0;144;0;152;0;41;0;3;0;7;0;7;0;12;0;13;0;2;0;160;0;72;0;0;0.06;1131;0.42;0;0;7;0;651;0;665;0;13;0;3;0;2;0;4;0;1;0;0;0;0;0;0;0;9;0;0;0;6;0;1;0;15;0;0;0;6;0;1;0;0;0;3;0;0;0;3;0;0;0;0;0;0;3;42;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;13;0;5;0;36;0;0;0;0;0;22;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;17;0;31;0;3;0;2;0;0;152;27;53;153;152;0;152;116;41;0;124;108;0;6;9;0;22;21;0;192.21;14.47;125.55;157.96;21.1;55.35;192.21;14.47;0;7.4;0;21.87;163.69;3.12;3.13;0.4;0;170.34;125.55;0;3.83;0;0;0;0;0;0
45.72.09.109.078;1;121;115;6;0;24;26;18;0;9;12;0;1;3;10;9;4;5;0;94;9;4;8;6;0;121;47;74;293;289;0;1;0;0;138;118;0;145.22;36.76;19.17;127.63;14.22;0.21;5.8;1.19;21.42;101.05;2.79;1.42;0.15;0.8;106.21;60;9;0;78.2;0;1.57;0;1;0;0;0;0;417;821;409;210;16;0;0;0;3;0;141;0;0;0;28;0;0;0;0;0;0;0;0;1;0;0;5;6;0;0;0;0;0;1;1;0;0;0;0;0;22;0;87.51;98.7;0.15;0;0;0;0;2.43;0.83;0.45;0.07;0.46;0.05;1.57;0.01;0;1.03;1.12;0.02;0;0.03;0.01;0;0.04;1.62;0;0;0.01;0;0;0;17.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01;0;0;0;0;0.35;0.44;0;0;0;0;0;0;0;0;0;0;0;0.15;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.76;0;404;0;34;0;290;0;19;0;135;0;179;0;43;0;4;0;4;0;8;0;8;0;714;0;1;0;250;0;43;0;0;0;444;2.65;0;0;7;0.18;412;0.17;512;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.36;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0.2;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;106;33;38;121;121;30;121;66;63;1;87;57;0;0;0;0;11;10;0;122.36;10.14;78.2;136.14;32.55;18.77;122.36;10.14;0.21;5.2;1.02;16.57;101.05;2.56;1.23;0.15;0.8;105.79;78.2;0;1.31;0;1;0;0;0;0
45.72.09.109.083;1;51;45;6;0;0;6;7;3;14;12;0;1;4;0;1;3;0;0;45;1;1;3;1;3;48;5;46;149;133;0;28;21;0;71;66;0;56;17.7;20.5;58.8;8.72;0.7;3.3;0.67;13.39;41.27;2.16;1.45;0.43;0.1;45.41;32;2;0;31.6;0;1.45;0;0;0;0;0;0;319;0;201;300;6;0;0;0;0;0;80;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;34.38;42.3;0.9;0;0;0;0;0.7;0;0.06;0.07;0.1;0;0;0.13;0;0.12;0.01;0;0;0.13;0;0;0;0.79;0;0;0;0;0;0;1.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;219;0;90;0;115;0;24;0;60;0;54;0;7;0;9;0;1;0;10;0;5;0;16;0;0;0;57;0;34;0;0;0;639;0.76;0;0;9;0;203;0;242;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1.44;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;49;11;19;50;50;8;50;34;25;1;40;29;0;0;3;0;5;4;0;56.88;7.3;31.6;53.78;17.4;20.5;56.88;7.3;0.7;2.95;0.67;11.62;41.27;2.04;1.45;0.4;0.1;45.26;31.6;0;1.45;0;0;0;0;0;0
